step,agent_id,pos_x,pos_y,angle,left_speed,right_speed,role,is_anchored,knows_target,assigned_target,w_target,w_center,w_rand,k_diff,lambda_anchor,lambda_release,base_x,base_y,chain_connected,rescued_count,is_alive,is_colliding,comm_view,obs_view,catch_distance,target_0_x,target_0_y,target_1_x,target_1_y,target_2_x,target_2_y
1,30,0.625,-0.3799999952316284,-0.08087632060050964,0.0,0.0,0,0,0,-1,0.008179021067917347,0.0017498276429250836,0.12007114291191101,0.010513262823224068,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
1,31,0.17499999701976776,-0.5,-1.5331518650054932,0.0,0.0,0,0,0,-1,0.007548558060079813,0.002352830721065402,0.12009860575199127,0.0017386829713359475,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
2,0,0.7790728807449341,0.6996322870254517,-0.08927787095308304,0.0,0.0,0,0,0,-1,0.008814706467092037,0.0014968777541071177,0.11968839913606644,0.001817669253796339,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
2,1,0.6292293071746826,0.8177396655082703,-0.48817986249923706,0.0,0.0,0,0,0,-1,0.008405480533838272,0.001816362258978188,0.11977815628051758,0.0005039980751462281,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
2,2,0.4786292612552643,-0.5028006434440613,-0.6682277321815491,0.0,0.0,0,0,0,-1,0.008413135074079037,0.001672382466495037,0.1199144721031189,0.001674274797551334,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
2,3,0.9297900795936584,-0.6200994849205017,-0.025691550225019455,0.0,0.0,0,0,0,-1,0.008583737537264824,0.0016156341880559921,0.1198006272315979,0.0002915328659582883,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
2,4,0.7761040925979614,-0.3753393888473511,1.332410454750061,0.0,0.0,0,0,0,-1,0.008009432815015316,0.0016894957516342402,0.12030106037855148,0.010170787572860718,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
2,5,0.32029956579208374,-0.020475586876273155,-3.033308744430542,0.0,0.0,0,0,0,-1,0.008282375521957874,0.001658826251514256,0.12005878984928131,0.001647384138777852,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
2,6,0.32114559412002563,-0.258009135723114,2.6477253437042236,0.0,0.0,0,0,0,-1,0.00734180212020874,0.0022415537387132645,0.12041664123535156,0.010592591017484665,0.0,0.0,-1.2,0.0,0,0,1,1,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
2,7,0.17062732577323914,0.5812346339225769,2.8784525394439697,0.0,0.0,0,0,0,-1,0.008469861932098866,0.0014792430447414517,0.12005089223384857,0.0017671006498858333,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
2,8,0.6275990009307861,-0.024028383195400238,-0.9944360256195068,0.0,0.0,0,0,0,-1,0.008503160439431667,0.0012524932390078902,0.1202443391084671,0.0015562314074486494,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
2,9,0.6222976446151733,0.21619249880313873,-2.1791343688964844,0.0,0.0,0,0,0,-1,0.008630065247416496,0.0015705929836258292,0.11979933828115463,0.00024597629089839756,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
2,10,0.32266220450401306,-0.5035851001739502,-2.130056142807007,0.0,0.0,0,0,0,-1,0.00849582813680172,0.0014445101842284203,0.12005965411663055,0.012321040965616703,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
2,11,0.6249793171882629,0.5753553509712219,-1.5846890211105347,0.0,0.0,0,0,0,-1,0.00862277764827013,0.0015716856578364968,0.11980553716421127,0.00029462770908139646,0.0,0.0,-1.2,0.0,0,0,1,0,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
2,12,0.3253311812877655,-0.37521782517433167,1.5052833557128906,0.0,0.0,0,0,0,-1,0.007683438248932362,0.0027810288593173027,0.11953552067279816,0.019372502341866493,0.0,0.0,-1.2,0.0,0,0,1,1,0.6,0.5,0.15,1.7,0.8,1.7,0.0,1.7,-0.8
