step,agent_id,pos_x,pos_y,angle,is_carrying,w_food,w_nest,w_rand,w_info,k_diff,lambda_pick,lambda_drop,left_speed,right_speed,nest_x,nest_y,pickup_event,delivery_event,is_colliding,is_alive,target_0_x,target_0_y,target_0_cap,target_1_x,target_1_y,target_1_cap,target_2_x,target_2_y,target_2_cap
2,14,-1.6249526,0.21807343,-1.467356,0,0.08432741463184357,0.0,0.0,0.04567257687449455,0.020714441314339638,0.6543536186218262,0.23273122310638428,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
2,15,1.3777906,-0.14171246,-0.593657,0,0.12999999523162842,0.0,0.0,0.0,0.0326860249042511,0.7796725630760193,0.42183196544647217,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
2,16,-1.7783298,-0.49831384,2.6407993,0,0.0007899734773673117,0.0,0.12809976935386658,0.0011102515272796154,0.016989504918456078,0.3787192702293396,0.25367504358291626,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
2,17,1.2276694,0.45607167,-0.98083556,0,0.0,0.0,0.12999999523162842,0.0,0.01767617277801037,0.38689351081848145,0.275679349899292,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
2,18,-1.4724381,-0.1384071,0.5067486,0,0.12999999523162842,0.0,0.0,0.0,0.013376977294683456,0.8465633392333984,0.45595356822013855,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
2,19,-0.4288954,0.578608,-2.8205473,0,0.0,0.0,0.12999999523162842,0.0,0.034348804503679276,0.3467521071434021,0.2766723334789276,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
2,20,0.4757693,0.6955862,-1.3846991,0,0.0007303219754248857,0.0,0.12926967442035675,0.0,0.01255485787987709,0.4095908999443054,0.29520562291145325,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
2,21,1.2263181,0.9417887,0.8642867,0,0.0,0.027963396161794662,0.06992148607969284,0.03211510553956032,0.023653669282794,0.40477633476257324,0.22420519590377808,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
2,22,-1.0254245,0.21739374,-1.7925702,0,0.0993473082780838,0.0,0.0,0.03065268136560917,0.023391129449009895,0.773646354675293,0.5107625722885132,0.0,0.0,0.0,0.0,0,0,1,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
2,23,-0.2789217,-0.021938441,-2.698768,0,0.0,0.0,0.12479955703020096,0.005200437270104885,0.025318020954728127,0.36921656131744385,0.36989593505859375,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
3,0,0.32485884,0.6876963,-1.680509,0,0.0,0.0005879676900804043,0.11941101402044296,0.01000100839883089,0.013030435889959335,0.4215700030326843,0.2712653875350952,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
3,1,-0.87060314,-0.5037922,-0.9392918,0,0.09561342000961304,0.0,0.0009889291832223535,0.03339763730764389,0.019372761249542236,0.6670565605163574,0.4585503041744232,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
