step,agent_id,pos_x,pos_y,vel_x,vel_y,angle,cmd_omega_l,cmd_omega_r,w_flow,w_shape,k_diff,alpha,beta,q_shape,corridor_width,goal_x,goal_y,ideal_beta,y_grad_variance,dist_centroid,is_colliding,score,is_alive
2,4,-1.1532385,-0.3441986,-0.022316808,0.020346379,2.4300544,3.484679779478222,-6.28,0.09,0.04,0.05,1.0,5.0,0.5738505043162531,1.0,1.15,0.0,1.0,9.419984817504883,0.3382141590118408,0,0,1
2,5,-0.8496871,0.05034956,-0.0071388762,0.003380386,2.702368,4.62008545725583,-6.28,0.09,0.04,0.05,1.0,5.0,0.5738505043162531,0.8729369640350342,1.15,0.0,1.0,9.314617156982422,0.34431177377700806,0,0,1
2,6,-1.3416488,0.2515525,0.029138684,0.013814547,0.47100267,5.765775362490243,-1.5903680711039283,0.09,0.04,0.05,1.0,5.0,0.5738505043162531,1.0,1.15,0.0,1.0,9.676827430725098,0.4172818958759308,0,0,1
2,7,-1.2474325,-0.25141713,0.008653643,-0.004648092,-0.48961982,-4.161304211206197,4.468704996635037,0.09,0.04,0.05,1.0,5.0,0.5738505043162531,1.0,1.15,0.0,1.0,8.271990776062012,0.26521965861320496,0,0,1
3,0,-1.4320673,0.05521059,0.11152765,0.03187971,0.27336994,6.28,5.457372854958735,0.09,0.04,0.05,1.0,5.0,0.5758029951182051,1.0,1.15,0.0,1.0,7.784460544586182,0.3651040196418762,0,0,1
3,1,-0.85216296,0.35099998,0.043385815,0.006402128,-2.9493065,-6.28,3.273510337747269,0.09,0.04,0.05,1.0,5.0,0.5758029951182051,0.8760730624198914,1.15,0.0,1.0,8.146949768066406,0.555884599685669,0,0,1
3,2,-1.1310427,-0.24699046,0.09870572,0.023260303,0.24491474,0.8240100669268967,6.070399091244132,0.09,0.04,0.05,1.0,5.0,0.5758029951182051,1.0,1.15,0.0,1.0,8.262521743774414,0.2270309031009674,0,0,1
3,3,-1.0378282,-0.25423133,0.080851816,-0.027275588,-0.30468896,2.8907694458071513,6.28,0.09,0.04,0.05,1.0,5.0,0.5758029951182051,1.0,1.15,0.0,1.0,8.308738708496094,0.2577349543571472,0,0,1
3,4,-1.1527768,-0.34481078,0.009985668,-0.013522955,2.1846523,4.287882590299474,-5.258266528538069,0.09,0.04,0.05,1.0,5.0,0.5758029951182051,1.0,1.15,0.0,1.0,8.712332725524902,0.3398331105709076,0,0,1
3,5,-0.848749,0.05003962,0.014253503,-0.0033139444,2.9975905,-6.28,4.441998672044497,0.09,0.04,0.05,1.0,5.0,0.5758029951182051,0.871748685836792,1.15,0.0,1.0,8.6414794921875,0.3403654992580414,0,0,1
3,6,-1.336127,0.25426024,0.06387608,0.026042994,0.35248908,6.276369231006795,-0.4335720515780947,0.09,0.04,0.05,1.0,5.0,0.5758029951182051,1.0,1.15,0.0,1.0,8.967501640319824,0.4185391664505005,0,0,1
3,7,-1.2480448,-0.25121388,-0.01028671,0.0029001257,-0.18402699,-1.8969890810114072,5.129731240477897,0.09,0.04,0.05,1.0,5.0,0.5758029951182051,1.0,1.15,0.0,1.0,7.7046732902526855,0.2683331370353699,0,0,1
4,0,-1.4208548,0.0581618,0.11246678,0.027943825,0.23900013,6.28,5.065052726798337,0.09,0.04,0.05,1.0,5.0,0.5765245333856828,1.0,1.15,0.0,1.0,7.204844951629639,0.3591952323913574,0,0,1
