step,agent_id,pos_x,pos_y,vel_x,vel_y,angle,cmd_omega_l,cmd_omega_r,w_flow,w_shape,k_diff,alpha,beta,q_total,q_shape,q_uniformity,corridor_width,goal_x,goal_y,ideal_beta,y_grad_variance,dist_centroid,is_colliding,score,is_alive
7,7,-0.87311524,0.43370256,-0.0687152,-0.0714378,-2.3241453,4.264148712158203,6.28000020980835,0.06056952476501465,0.06943047046661377,0.03500000014901161,1.0,1.7381001710891724,0.03841086013023469,0.03451733014049256,0.04749576343963299,1.0,1.05,0.0,1.0,10.655204772949219,0.6258203983306885,0,0,1
8,0,-0.8631923,-0.3776327,-0.039264154,0.111128375,1.9136989,5.681418418884277,6.264904975891113,0.06320436298847198,0.06679562479257584,0.03500000014901161,1.0,1.4497991800308228,0.044227847447125455,0.04127404004121121,0.05112006472759204,1.0,1.05,0.0,1.0,13.394111633300781,0.6096336245536804,0,0,1
8,1,-1.1574895,-0.26888895,-0.0005488997,0.118675806,1.5726248,6.237087726593018,5.720895290374756,0.06161580979824066,0.06838418543338776,0.03500000014901161,1.0,1.5398011207580566,0.044227847447125455,0.04127404004121121,0.05112006472759204,1.0,1.05,0.0,1.0,13.306941032409668,0.33294790983200073,0,0,1
8,2,-1.4374105,-0.039983112,0.0032785034,-0.0004715342,-0.11749882,0.7997578978538513,-0.4997578561306,0.06423049420118332,0.0657694935798645,0.03500000014901161,1.0,1.3870973587036133,0.044227847447125455,0.04127404004121121,0.05112006472759204,1.0,1.05,0.0,1.0,11.69540786743164,0.25090962648391724,1,0,1
8,3,-1.1749374,0.30128485,-0.012424392,-0.108825974,-1.6772825,5.097010612487793,6.28000020980835,0.06103906407952309,0.06896092742681503,0.03500000014901161,1.0,1.8005276918411255,0.044227847447125455,0.04127404004121121,0.05112006472759204,1.0,1.05,0.0,1.0,13.393645286560059,0.33258289098739624,0,0,1
8,4,-1.4496605,0.036857996,0.002074525,0.0018900835,0.67226845,2.807490825653076,-2.507490873336792,0.065074622631073,0.06492537260055542,0.03500000014901161,1.0,1.5210437774658203,0.044227847447125455,0.04127404004121121,0.05112006472759204,1.0,1.05,0.0,1.0,11.511582374572754,0.25829944014549255,1,0,1
8,5,-1.3911382,-0.21083929,0.08228198,0.08067174,0.78001285,5.411806583404541,6.28000020980835,0.06302932649850845,0.06697066873311996,0.03500000014901161,1.0,1.423447608947754,0.044227847447125455,0.04127404004121121,0.05112006472759204,1.0,1.05,0.0,1.0,12.926526069641113,0.32019224762916565,0,0,1
8,6,-1.4442382,0.24990016,-0.0049556755,-0.02491562,-1.7471865,1.2508230209350586,6.28000020980835,0.06176619604229927,0.06823380291461945,0.03500000014901161,1.0,1.7549240589141846,0.044227847447125455,0.04127404004121121,0.05112006472759204,1.0,1.05,0.0,1.0,12.242752075195312,0.36777162551879883,0,0,1
8,7,-0.87993497,0.4258593,-0.06690351,-0.08154544,-2.2487264,4.708858489990234,6.28000020980835,0.060118645429611206,0.06988135725259781,0.03500000014901161,1.0,1.7364866733551025,0.044227847447125455,0.04127404004121121,0.05112006472759204,1.0,1.05,0.0,1.0,10.548070907592773,0.6133817434310913,0,0,1
9,0,-0.86732084,-0.36646,-0.042353127,0.111766994,1.9353927,5.822289943695068,6.159746170043945,0.06306946277618408,0.06693053245544434,0.03500000014901161,1.0,1.4516427516937256,0.05158213283235211,0.05007904022088826,0.05508934892576776,1.0,1.05,0.0,1.0,12.800724983215332,0.5978941321372986,0,0,1
9,1,-1.1573962,-0.25694168,0.0018055495,0.11962539,1.5536225,6.172579288482666,5.8062520027160645,0.061529118567705154,0.06847087293863297,0.03500000014901161,1.0,1.5344130992889404,0.05158213283235211,0.05007904022088826,0.05508934892576776,1.0,1.05,0.0,1.0,12.7310152053833,0.32047173380851746,0,0,1
9,2,-1.4371215,-0.04003111,0.0035181595,-0.0006301565,-0.1718231,-0.008083030581474304,0.30808305740356445,0.06338229775428772,0.0666177049279213,0.03500000014901161,1.0,1.5223454236984253,0.05158213283235211,0.05007904022088826,0.05508934892576776,1.0,1.05,0.0,1.0,11.451321601867676,0.25029456615448,1,0,1
9,3,-1.1758702,0.2901174,-0.0073519275,-0.11265994,-1.630355,5.312076568603516,6.28000020980835,0.060922276228666306,0.06907771527767181,0.03500000014901161,1.0,1.8073384761810303,0.05158213283235211,0.05007904022088826,0.05508934892576776,1.0,1.05,0.0,1.0,12.82712459564209,0.3192560374736786,0,0,1
9,4,-1.4494034,0.03702,0.0027885751,0.001360153,0.45003194,1.8774739503860474,-1.5774739980697632,0.06501659005880356,0.06498340517282486,0.03500000014901161,1.0,1.4864059686660767,0.05158213283235211,0.05007904022088826,0.05508934892576776,1.0,1.05,0.0,1.0,11.08373737335205,0.2574700713157654,1,0,1
9,5,-1.3829832,-0.20251535,0.08082432,0.084543936,0.81161594,5.504619598388672,6.28000020980835,0.06284881383180618,0.06715118139982224,0.03500000014901161,1.0,1.4505504369735718,0.05158213283235211,0.05007904022088826,0.05508934892576776,1.0,1.05,0.0,1.0,12.2938814163208,0.307260662317276,0,0,1
9,6,-1.4448426,0.24286059,-0.00075116236,-0.075505264,-1.5576267,2.436976194381714,6.28000020980835,0.06128541752696037,0.06871457397937775,0.03500000014901161,1.0,1.7742364406585693,0.05158213283235211,0.05007904022088826,0.05508934892576776,1.0,1.05,0.0,1.0,11.202714920043945,0.3615860342979431,0,0,1
9,7,-0.88650763,0.41718996,-0.06442841,-0.089022495,-2.1902828,5.019581317901611,6.28000020980835,0.05940336361527443,0.07059662789106369,0.03500000014901161,1.0,1.7346076965332031,0.05158213283235211,0.05007904022088826,0.05508934892576776,1.0,1.05,0.0,1.0,10.361851692199707,0.6007685661315918,0,0,1
10,0,-0.8716723,-0.35530487,-0.04413203,0.1115271,1.9487888,5.919064521789551,6.076999664306641,0.06285353004932404,0.06714646518230438,0.03500000014901161,1.0,1.4579826593399048,0.06066352788549387,0.06118250703406625,0.059452576538824985,1.0,1.05,0.0,1.0,12.173139572143555,0.5856456756591797,0,0,1
10,1,-1.157104,-0.24497074,0.00354507,0.11991687,1.5398116,6.118017196655273,5.872469902038574,0.06138552725315094,0.06861447542905807,0.03500000014901161,1.0,1.5309282541275024,0.06066352788549387,0.06118250703406625,0.059452576538824985,1.0,1.05,0.0,1.0,12.107426643371582,0.30772703886032104,0,0,1
10,2,-1.43683,-0.040084988,0.002826185,-0.0005159773,-0.17175305,-0.21407710015773773,0.5140771269798279,0.0632375031709671,0.06676249206066132,0.03500000014901161,1.0,1.5350558757781982,0.06066352788549387,0.06118250703406625,0.059452576538824985,1.0,1.05,0.0,1.0,11.109070777893066,0.24987265467643738,1,0,1
10,3,-1.1763399,0.27861804,-0.0031372798,-0.115956575,-1.5938087,5.46965217590332,6.28000020980835,0.06073887273669243,0.06926112622022629,0.03500000014901161,1.0,1.815392017364502,0.06066352788549387,0.06118250703406625,0.059452576538824985,1.0,1.05,0.0,1.0,12.223433494567871,0.30589213967323303,0,0,1
10,4,-1.4491227,0.037133336,0.0030187983,0.0010069355,0.31671014,1.220198631286621,-0.9201986193656921,0.06480404734611511,0.0651959478855133,0.03500000014901161,1.0,1.4534037113189697,0.06066352788549387,0.06118250703406625,0.059452576538824985,1.0,1.05,0.0,1.0,10.688547134399414,0.25690701603889465,1,0,1
10,5,-1.3750023,-0.19387348,0.07899403,0.08743082,0.83940786,5.440797805786133,6.28000020980835,0.06219381466507912,0.0678061842918396,0.03500000014901161,1.0,1.5438964366912842,0.06066352788549387,0.06118250703406625,0.059452576538824985,1.0,1.05,0.0,1.0,11.646029472351074,0.2941005527973175,0,0,1
10,6,-1.4441036,0.23451509,0.01235692,-0.08629495,-1.411511,3.5633416175842285,6.28000020980835,0.06038462370634079,0.06961537897586823,0.03500000014901161,1.0,1.8162615299224854,0.06066352788549387,0.06118250703406625,0.059452576538824985,1.0,1.05,0.0,1.0,10.083701133728027,0.353758305311203,0,0,1
10,7,-0.89281076,0.4079044,-0.06178584,-0.0946086,-2.1437933,5.240140438079834,6.28000020980835,0.05832110345363617,0.07167889177799225,0.03500000014901161,1.0,1.7260935306549072,0.06066352788549387,0.06118250703406625,0.059452576538824985,1.0,1.05,0.0,1.0,10.139848709106445,0.5878610610961914,0,0,1
11,0,-0.87614125,-0.34417608,-0.04502639,0.111374475,1.9554107,5.98049259185791,6.019269943237305,0.06224565580487251,0.0677543431520462,0.03500000014901161,1.0,1.4946725368499756,0.07183415410540905,0.07509078837020888,0.06423534082087612,1.0,1.05,0.0,1.0,11.564961433410645,0.5730517506599426,0,0,1
11,1,-1.1566734,-0.23299044,0.004737712,0.12004739,1.5304497,6.080060005187988,5.915677070617676,0.061166681349277496,0.06883330643177032,0.03500000014901161,1.0,1.5282602310180664,0.07183415410540905,0.07509078837020888,0.06423534082087612,1.0,1.05,0.0,1.0,11.493025779724121,0.2947992980480194,0,0,1
11,2,-1.4365355,-0.040134747,0.002707316,-0.00042365605,-0.14896117,-0.2513526380062103,0.5513526797294617,0.06316328793764114,0.06683671474456787,0.03500000014901161,1.0,1.5396546125411987,0.07183415410540905,0.07509078837020888,0.06423534082087612,1.0,1.05,0.0,1.0,10.730575561523438,0.2496287077665329,1,0,1
11,3,-1.1764386,0.26690087,0.0003404062,-0.11756341,-1.5644821,5.583140850067139,6.28000020980835,0.060506727546453476,0.06949327141046524,0.03500000014901161,1.0,1.8210762739181519,0.07183415410540905,0.07509078837020888,0.06423534082087612,1.0,1.05,0.0,1.0,11.633479118347168,0.29253751039505005,0,0,1
11,4,-1.4488326,0.037214685,0.0030583194,0.00074194337,0.23363112,0.8062539100646973,-0.5062538385391235,0.06440315395593643,0.06559684127569199,0.03500000014901161,1.0,1.4167351722717285,0.07183415410540905,0.07509078837020888,0.06423534082087612,1.0,1.05,0.0,1.0,10.319840431213379,0.2565912902355194,1,0,1
